"","brewery","review","rating","lon","lat"
"1","Brasserie Auval Brewing","21,237 Ratings","(4.165)",-64.3881526,48.4934311
"2","Superflux Beer Company","11,621 Ratings","(4.151)",-123.0761842,49.2820443
"3","Brasserie du Bas-Canada","18,086 Ratings","(4.136)",-75.6997651,45.4789318
"4","Small Pony Barrel Works","7,954 Ratings","(4.067)",-75.9020471,45.3392638
"5","Badlands Brewing Company","1,942 Ratings","(4.059)",-79.8971376,43.7515686
"6","Boombox Brewing Company","9,758 Ratings","(4.058)",-123.064417,49.283839
"7","Half Hours on Earth","17,026 Ratings","(4.03)",-81.397265,43.5490237
"8","Kilter Brewing Company","1,470 Ratings","(4.024)",-97.1598266,49.8811242
"9","Bellwoods Brewery","203,532 Ratings","(4.017)",-79.42008,43.647069
"10","Stillwell Brewing Company","2,278 Ratings","(4.012)",-94.8327276,38.8843123
"11","Outcast Brewing","7,493 Ratings","(4.001)",NA,NA
"12","Barncat Artisan Ales","12,365 Ratings","(3.999)",-80.3303985,43.3922284
"13","Unfiltered Brewing","9,780 Ratings","(3.999)",-63.596022,44.6541973
"14","Bob Magnale","1,754 Ratings","(3.993)",11.5216088,43.7517635
"15","La Face Cachée de la Pomme","1,253 Ratings","(3.982)",-73.5707331,45.0455952
"16","Loyalist City Brewing Company","3,102 Ratings","(3.976)",-66.0622427,45.2710236
"17","Le Prospecteur","13,226 Ratings","(3.963)",-77.7829754,48.100793
"18","Niche Brewing","2,752 Ratings","(3.941)",-67.2416646,45.9735952
"19","Rouge River Brewing Company","11,708 Ratings","(3.935)",-79.2661,43.878886
"20","Brasserie Maltstrom","9,668 Ratings","(3.931)",-73.4192973,46.0617058
"21","Tide & Boar Brewing","2,127 Ratings","(3.918)",-94.6403609,38.8849238
"22","Short Finger Brewing Co.","1,746 Ratings","(3.909)",-80.479687,43.4404516
"23","Microbrasserie Le Castor","56,912 Ratings","(3.909)",-74.3179872,45.4859944
"24","Four Winds Brewing","67,524 Ratings","(3.903)",-123.026466,49.136309
"25","Hammond River Brewing Company","9,206 Ratings","(3.9)",-65.9777056,45.4006386
"26","Trailway Brewing Co.","26,752 Ratings","(3.9)",-66.6495913,45.9754068
"27","Brasserie Dieu du Ciel!","409,524 Ratings","(3.897)",-73.5934128,45.5226996
"28","High Road Brewing","4,138 Ratings","(3.892)",-79.332415,43.662644
"29","Bad Apple Brewhouse / O.B.A Brewing Company","4,295 Ratings","(3.887)",-64.731292,45.060539
"30","Grand Monk Artisan Ales","1,279 Ratings","(3.881)",-85.6685237,43.0298214
"31","Annapolis Cider Company","1,181 Ratings","(3.88)",-64.3602788,45.0917799
"32","Microbrasserie Vox Populi","37,863 Ratings","(3.869)",NA,NA
"33","Backcountry Brewing","11,572 Ratings","(3.868)",-123.1542358,49.7237852
"34","Red Rover Craft Cider","2,438 Ratings","(3.867)",-66.6400625,45.961532
"35","Microbrasserie Pit Caribou","67,547 Ratings","(3.865)",-73.5753993,45.5250014
"36","Blood Brothers Brewing","37,395 Ratings","(3.86)",-79.4365443,43.6698927
"37","Twin Sails Brewing","42,013 Ratings","(3.854)",-122.8484471,49.2785424
"38","Brasserie Artisanale Albion","3,819 Ratings","(3.853)",-73.4394964,46.025454
"39","Sunset Heights Meadery","1,285 Ratings","(3.851)",NA,NA
"40","Ras L'Bock","11,849 Ratings","(3.849)",-70.2720445,47.2148191
"41","LTM - Les Trois Mousquetaires","85,991 Ratings","(3.846)",-73.4630158,45.4309778
"42","Halcyon Barrel House","7,511 Ratings","(3.844)",-74.6373199,45.516908
"43","île Sauvage Brewing Company","1,069 Ratings","(3.843)",-123.373721,48.4400068
"44","Bièrerie Shelton","11,481 Ratings","(3.843)",NA,NA
"45","Fairweather Brewing Company","17,201 Ratings","(3.841)",-79.9318124,43.2552438
"46","Snake Lake Brewing","3,862 Ratings","(3.838)",-114.0695964,52.3162134
"47","Driftwood Brewery","98,855 Ratings","(3.836)",-123.374247,48.4369524
"48","Brasserie Dunham","128,774 Ratings","(3.832)",-72.800523,45.130465
"49","21st Street Brewery","2,571 Ratings","(3.831)",-90.213029,38.6213479
"50","Blindman Brewing","29,189 Ratings","(3.829)",-113.7045,52.466838
