"","Brasserie Auval Brewing","Superflux Beer Company","Brasserie du Bas-Canada","Small Pony Barrel Works","Badlands Brewing Company","Boombox Brewing Company","Half Hours on Earth","Kilter Brewing Company","Bellwoods Brewery","Stillwell Brewing Company","Barncat Artisan Ales","Unfiltered Brewing","La Face Cachée de la Pomme","Loyalist City Brewing Company","Le Prospecteur","Niche Brewing","Rouge River Brewing Company","Brasserie Maltstrom","Tide & Boar Brewing","Short Finger Brewing Co.","Microbrasserie Le Castor","Four Winds Brewing","Hammond River Brewing Company","Trailway Brewing Co.","Brasserie Dieu du Ciel!","High Road Brewing","Bad Apple Brewhouse / O.B.A Brewing Company","Grand Monk Artisan Ales","Annapolis Cider Company","Backcountry Brewing","Red Rover Craft Cider","Microbrasserie Pit Caribou","Blood Brothers Brewing","Twin Sails Brewing","Brasserie Artisanale Albion","Ras L'Bock","LTM - Les Trois Mousquetaires","Halcyon Barrel House","île Sauvage Brewing Company","Fairweather Brewing Company","Snake Lake Brewing","Driftwood Brewery","Brasserie Dunham","21st Street Brewery","Blindman Brewing"
"Brasserie Auval Brewing",0,5895414,1164821,1187139,1568450,5896482,1704836,3229030,1531203,3162685,1604368,796231,1023421,682393,1485866,556865,1511502,944881,3152960,1616434,1038964,5880240,666770,588635,973671,1527082,892070,2099592,859029,5963099,590353,971605,1526936,5887323,947496,637899,971098,1069639,5909957,1593874,4614862,5910120,976853,2733661,4554937
"Superflux Beer Company",5517075,0,4367896,4343527,4376839,1190,4210375,2289334,4380925,3198807,4294239,5791327,4581373,5753926,4042475,5309975,4400467,4619711,3201154,4294739,4488144,26421,5771375,5367934,4554424,4387455,5937361,3837188,5968779,74007,5366284,4560267,4381403,18995,4616367,4894451,4577257,4459741,112250,4313141,1118657,112668,4643081,3570165,1136477
"Brasserie du Bas-Canada",1155419,4364903,0,29768,447226,4365972,597008,2148611,423376,2054858,496541,1430307,232771,1105966,416156,948955,380521,245387,2045133,508607,137699,4349729,1123453,1006914,193337,419255,1289088,991765,1493106,4432589,1005264,196714,419109,4356813,242043,533431,215814,108318,4379446,486047,3424658,4379609,285162,1625834,3474519
"Small Pony Barrel Works",1179315,4340356,30771,0,422678,4341425,572461,2124064,398829,2030310,471994,1454203,246091,945048,437797,972851,355974,282586,2020585,484060,151019,4325182,962535,1030809,217299,394708,1128170,967217,1517001,4408042,1029159,220620,394562,4332266,279242,557327,240133,121638,4354899,461500,3400111,4355062,303398,1601287,3449971
"Badlands Brewing Company",1559281,4379161,442381,418012,0,4380230,155851,2219055,56710,1646432,88116,1834169,590699,1509828,723175,1352817,73070,653913,1636707,100182,557345,4363988,1527315,1410776,588626,63239,1692950,572581,1896968,4446847,1409125,592015,57199,4371071,650569,937293,601268,539533,4393704,74320,3486617,4393867,675672,1217409,3459734
"Boombox Brewing Company",5517942,1000,4368762,4344393,4377706,0,4211241,2288840,4381792,3239926,4295597,5792194,4581989,5753891,4040785,5310842,4401745,4620328,3241756,4295605,4489010,27287,5772030,5368551,4555745,4388072,5938016,3837842,5969396,72605,5366900,4560884,4382020,18501,4616984,4895068,4577874,4460083,113116,4313019,1117671,113535,4641843,3610139,1135491
"Half Hours on Earth",1694806,4212917,596943,572574,155791,4213986,0,2063569,192246,1480188,105597,1969694,726223,1645352,825514,1488341,211745,789438,1470463,91838,692869,4197744,1662840,1546300,724151,198776,1828475,417095,2032492,4280603,1544650,727539,192724,4204827,786094,1072818,736792,675057,4227460,153661,3320373,4227623,811197,1071618,3293490
"Kilter Brewing Company",3221500,2308929,2149390,2125021,2027449,2309194,1861040,0,2031535,1341969,1944886,3496388,2325043,3172046,1743403,3015036,1962063,2266144,1344277,1945348,2269638,2305264,3190096,3072994,2259417,2038065,3355169,1686674,3559186,2375841,3071344,2262794,1954652,2297123,2276473,2599512,2281894,2240257,2399595,1962307,1339965,2400013,2351241,1595189,1317010
"Bellwoods Brewery",1521355,4380058,423493,399124,55926,4381127,192323,2230710,0,1647329,91855,1796243,552773,1471902,723011,1314891,42443,615988,1637604,103921,519419,4364884,1489390,1372850,550701,9652,1655025,584236,1859042,4447744,1371200,554077,3329,4371968,612644,899367,563342,501607,4394601,66455,3487514,4394764,637747,1218306,3460631
"Stillwell Brewing Company",3149825,3197302,2055854,2026958,1642543,3198371,1480661,1340643,1646630,0,1559981,3386070,2180607,2973735,2341126,2960696,1666172,2243821,18025,1560443,2147253,3182128,2994314,3014215,2178534,1653159,3157209,1102930,3190482,3264988,3014457,2178355,1647108,3189212,2245004,2527201,2191176,2133967,3211845,1581929,2558749,3212008,2270107,433792,2531866
"Barncat Artisan Ales",1594517,4294939,496655,472286,87872,4296008,106906,2148136,91958,1562210,0,1869405,625935,1545064,786454,1388053,111457,689150,1552485,18505,592581,4279765,1562551,1446012,623863,98488,1728186,499117,1932204,4362625,1444362,627251,92436,4286849,685805,972529,636504,574769,4309482,38755,3402395,4276101,710909,1133187,3375512
"Unfiltered Brewing",794734,5789103,1431651,1453968,1835279,5790172,1971665,3495859,1798033,3366238,1871198,0,1290250,412080,1752696,488172,1778331,1211710,3348061,1883264,1305794,5773929,396457,428547,1240501,1793912,121774,2366421,88734,5856789,435459,1238434,1793766,5781013,1214325,904728,1237928,1336469,5803646,1860704,4881692,5803809,1243682,2944167,4821766
"La Face Cachée de la Pomme",1016105,4579528,231379,244393,591429,4580596,727815,2331419,554183,2185664,627348,1290993,0,774147,588256,809641,534481,141662,2175939,639414,96219,4564354,791634,867600,74774,550062,957269,1122571,1353792,4647213,865950,72708,549916,4571437,138318,394117,58092,126894,4594071,616854,3639282,4594233,70671,1756641,3657327
"Loyalist City Brewing Company",681263,5753139,931468,947475,1513349,5754207,1649734,3173928,1476102,2956899,1549267,410892,775925,0,1252513,166241,1456400,889779,2938722,1561333,799301,5737965,19136,117082,737062,1471981,189368,2044490,220748,5820824,113528,738291,1471835,5745048,892394,582797,723603,829976,5767682,1538773,4559761,5767844,677062,2534827,4499835
"Le Prospecteur",1478059,4061089,416328,439183,722843,4061353,825253,1743263,726848,2344970,786654,1752947,581602,1428606,0,1271595,731611,522704,2335245,798720,524012,4057424,1446093,1329554,515977,745049,1611728,1281877,1815746,4128001,1327904,519354,724199,4049283,533033,856071,538454,506243,4151755,783617,3129095,4152173,607802,1915947,3069170
"Niche Brewing",557869,5306906,949454,971772,1353083,5307975,1489469,3013178,1315836,2938199,1389001,488528,808054,164187,1270499,0,1296135,729514,2920022,1401067,823597,5291733,181674,65135,758304,1311715,347309,1884225,551327,5374592,63485,756238,1311569,5298816,732129,422532,755731,854272,5321450,1378507,4399495,5321612,761486,2516127,4339570
"Rouge River Brewing Company",1502453,4402616,374866,350497,71292,4403684,212038,2067435,43274,1669887,111570,1777341,533870,1452999,730636,1295989,0,597085,1660162,123636,500516,4387442,1470487,1353947,531798,39154,1636122,606794,1840139,4470302,1352297,535261,39064,4394525,593741,880465,544439,482704,4417159,108533,3510072,4417322,618844,1240863,3483188
"Brasserie Maltstrom",935550,4616833,245729,281698,653203,4617902,789589,2280097,615956,2247438,689121,1210438,138881,886097,536934,729086,596255,0,2237713,701187,133524,4601660,903584,787045,73686,611835,1069219,1184345,1273236,4684519,785394,74307,611689,4608743,5073,313562,89212,164199,4631377,678627,3665930,4631539,166237,1818414,3606004
